==4512== Lackey, an example Valgrind tool
==4512== Copyright (C) 2002-2015, and GNU GPL'd, by Nicholas Nethercote.
==4512== Using Valgrind-3.11.0 and LibVEX; rerun with -h for copyright info
==4512== Command: ./quicksort
I  040195c0,4
I  040195c4,4
 L ffefffd40,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd48,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd50,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd58,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd60,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd68,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd70,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd78,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd80,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd88,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd90,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffd98,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffda0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffda8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdb0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdb8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdc0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdc8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdd0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdd8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffde0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffde8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdf0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffdf8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe00,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe08,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe10,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe18,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe20,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe28,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe30,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe38,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe40,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe48,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe50,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe58,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe60,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe68,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe70,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe78,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe80,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe88,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe90,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffe98,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffea0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffea8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffeb0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffeb8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffec0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffec8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffed0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffed8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffee0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffee8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffef0,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffefffef8,8
I  040195c8,2
I  040195c0,4
I  040195c4,4
 L ffeffff00,8
I  040195c8,2
I  040195ca,4
I  040195ce,4
 L ffeffff08,8
I  040195d2,7
I  040195d9,11
 S 04225ca8,8
I  040195e4,7
 S 04225d08,8
I  040195eb,5
 S ffefffba8,8
I  040195f0,3
I  040195f3,6
I  040195f9,7
 L 04225cf8,8
I  04019600,7
 L 04225cb8,8
I  04019607,7
I  0401960e,7
 L 04225e78,4
I  04019615,5
 S ffefffb9f,1
I  0401961a,3
I  0401961d,5
 S ffefffb9e,1
I  04019622,5
 S ffefffb9d,1
I  04019627,3
I  0401962a,4
 S ffefffb70,8
I  0401962e,7
 L 04225db0,8
I  04019635,3
I  04019638,5
 S ffefffb9c,1
I  0401963d,5
 S ffefffb99,1
I  04019642,3
I  04019645,3
I  04019648,2
I  0401964a,2
I  0401964c,5
 S ffefffb78,8
I  04019651,6
 L 04225cd8,4
I  04019657,4
 S ffefffb84,4
I  0401965b,7
 L 04225cf0,2
I  04019662,5
 S ffefffb9a,2
I  04019667,7
 L 04225da0,8
I  0401966e,5
 S ffefffb88,8
I  04019673,7
 L 04225e68,8
I  0401967a,5
 S ffefffb90,8
I  0401967f,2
I  04019681,7
I  04019688,4
I  0401968c,4
I  04019690,2
I  040196b0,4
I  040196b4,3
 L ffeffff18,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f144,4
I  04019696,3
I  04019699,2
I  040197d0,4
 L ffeffff20,8
I  040197d4,6
I  040197da,4
 S ffefffb70,8
I  040197de,5
I  040196b0,4
I  040196b4,3
 L ffeffff28,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f11c,4
I  04019696,3
I  04019699,2
I  04019810,4
 L ffeffff30,8
I  04019814,5
I  04019819,5
I  040196b0,4
I  040196b4,3
 L ffeffff38,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f148,4
I  04019696,3
I  04019699,2
I  040197b8,3
 L ffeffff40,4
I  040197bb,5
 S ffefffb9c,1
I  040197c0,4
 S ffefffb84,4
I  040197c4,5
I  040196b0,4
I  040196b4,3
 L ffeffff48,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f110,4
I  04019696,3
I  04019699,2
I  04019820,4
 L ffeffff50,8
I  04019824,5
I  040196b0,4
I  040196b4,3
 L ffeffff58,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f114,4
I  04019696,3
I  04019699,2
I  040196b0,4
I  040196b4,3
